12.33, 200003, Marketplace 19 Sanctuary Moon, 73d
11.94, 201981, Marketplace 19 Sanctuary Moon, 73d
12.51, 47164, Marketplace 19 Sanctuary Moon, 27d
12.50, 97104, Marketplace 19 Sanctuary Moon, 73d
11.67, 200444, Marketplace 19 Sanctuary Moon, 73d
12.24, 200035, Marketplace 19 Sanctuary Moon, 73d
14, 197, Marketplace 19 Sanctuary Moon, 28d
11.67, 200444, Marketplace 2 Alioth Moon 1, 73d
12.24, 36869, Marketplace 2 Alioth Moon 1, 73d
11.94, 201981, Marketplace 2 Alioth Moon 1, 73d
11.67, 200444, Marketplace 2 Feli Moon 1, 73d
11.94, 201981, Marketplace 2 Feli Moon 1, 73d
12.33, 200003, Marketplace 2 Feli Moon 1, 73d
12.24, 200035, Marketplace 2 Feli Moon 1, 73d
12.50, 127032, Marketplace 2 Feli Moon 1, 73d
12.24, 200035, Marketplace 2 lon Moon 1, 73d
12.33, 200003, Marketplace 2 lon Moon 1, 73d
11.94, 201981, Marketplace 2 lon Moon 1, 73d
11.67, 200444, Marketplace 2 lon Moon 1, 73d
12.50, 184533, Marketplace 2 lon Moon 1, 73d
11.67, 200444, Marketplace 2 lon Moon 2, 73d
12.24, 34676, Marketplace 2 lon Moon 2, 73d
11.94, 201981, Marketplace 2 lon Moon 2, 73d
12.50, 200830, Marketplace 2 Lacobus Moon 1, 73d
11.94, 201981, Marketplace 2 Lacobus Moon 1, 73d
12.24, 200035, Marketplace 2 Lacobus Moon 1, 73d
11.67, 200444, Marketplace 2 Lacobus Moon 1, 73d
12.33, 200003, Marketplace 2 Lacobus Moon 1, 73d
12.33, 200003, Marketplace 2 Lacobus Moon 2, 73d
12.24, 200035, Marketplace 2 Lacobus Moon 2, 73d
11.67, 200444, Marketplace 2 Lacobus Moon 2, 73d
12.50, 201560, Marketplace 2 Lacobus Moon 2, 73d
11.94, 201981, Marketplace 2 Lacobus Moon 2, 73d
11.67, 200444, Marketplace 2 Lacobus Moon 3, 73d
12.24, 200035, Marketplace 2 Lacobus Moon 3, 73d
11.94, 201981, Marketplace 2 Lacobus Moon 3, 73d
12.33, 200003, Marketplace 2 Lacobus Moon 3, 73d
12.50, 201560, Marketplace 2 Lacobus Moon 3, 73d
12.33, 200003, Marketplace 2 Madis Moon 1, 73d
12.50, 192030, Marketplace 2 Madis Moon 1, 73d
12.24, 200035, Marketplace 2 Madis Moon 1, 73d
11.94, 201981, Marketplace 2 Madis Moon 1, 73d
11.67, 200444, Marketplace 2 Madis Moon 1, 73d
12.33, 131075, Marketplace 2 Madis Moon 2, 73d
12.24, 175066, Marketplace 2 Madis Moon 2, 73d
11.94, 201981, Marketplace 2 Madis Moon 2, 73d
11.67, 200444, Marketplace 2 Madis Moon 2, 73d
12.33, 200003, Marketplace 2 Madis Moon 3, 73d
12.50, 157190, Marketplace 2 Madis Moon 3, 73d
11.94, 201981, Marketplace 2 Madis Moon 3, 73d
11.67, 200444, Marketplace 2 Madis Moon 3, 73d
12.24, 200035, Marketplace 2 Madis Moon 3, 73d
11.67, 200444, Marketplace 2 Sinnen Moon 1, 73d
11.94, 201981, Marketplace 2 Sinnen Moon 1, 73d
12.24, 200035, Marketplace 2 Sinnen Moon 1, 73d
12.33, 200003, Marketplace 2 Sinnen Moon 1, 73d
12.50, 82213, Marketplace 2 Talemai Moon 1, 73d
12.33, 200003, Marketplace 2 Talemai Moon 1, 73d
11.67, 200444, Marketplace 2 Talemai Moon 1, 73d
11.94, 201981, Marketplace 2 Talemai Moon 1, 73d
12.24, 200035, Marketplace 2 Talemai Moon 1, 73d
11.94, 201981, Marketplace 2 Talemai Moon 2, 73d
11.67, 200444, Marketplace 2 Talemai Moon 2, 73d
12.33, 200003, Marketplace 2 Talemai Moon 2, 73d
12.24, 200035, Marketplace 2 Talemai Moon 2, 73d
12.50, 4625, Marketplace 2 Talemai Moon 2, 73d
12.33, 200003, Marketplace 2 Talemai Moon 3, 73d
12.50, 105069, Marketplace 2 Talemai Moon 3, 73d
11.67, 200444, Marketplace 2 Talemai Moon 3, 73d
11.94, 201981, Marketplace 2 Talemai Moon 3, 73d
12.24, 200035, Marketplace 2 Talemai Moon 3, 73d
11.94, 201981, Marketplace 2 Thades Moon 2, 73d
11.67, 200444, Marketplace 2 Thades Moon 2, 73d
12.24, 85602, Marketplace 2 Thades Moon 2, 73d
11.67, 200444, Marketplace 20 Sanctuary Moon, 73d
11.94, 201981, Marketplace 20 Sanctuary Moon, 73d
12.24, 200035, Marketplace 20 Sanctuary Moon, 73d
12.33, 200003, Marketplace 20 Sanctuary Moon, 73d
12.50, 94872, Marketplace 20 Sanctuary Moon, 73d
12.60, 4000, Marketplace 20 Sanctuary Moon, 30d
10, 9424, Marketplace Alioth 11, 29d
12.60, 25845, Marketplace Alioth 12, 29d
12.50, 31443, Marketplace Alioth 12, 73d
11.94, 201981, Marketplace Alioth 12, 73d
12.24, 200035, Marketplace Alioth 12, 73d
12.33, 200003, Marketplace Alioth 12, 73d
11.67, 200444, Marketplace Alioth 12, 73d
12.24, 49616, Marketplace Alioth 13, 73d
13, 5637, Marketplace Alioth 13, 6d
11.94, 201981, Marketplace Alioth 13, 73d
11.67, 200444, Marketplace Alioth 13, 73d
12.05, 50000, Marketplace Alioth 14, 4h
12.60, 22874, Marketplace Alioth 14, 29d
12.65, 20000, Marketplace Alioth 15, 20h
11.68, 6088, Marketplace Alioth 15, 2d
11.67, 189084, Marketplace Alioth 15, 73d
12.60, 30000, Marketplace Alioth 15, 29d
12.33, 70785, Marketplace Alioth 16, 73d
11.94, 201981, Marketplace Alioth 16, 73d
12.24, 187163, Marketplace Alioth 16, 73d
11.67, 200444, Marketplace Alioth 16, 73d
15, 15787, Marketplace Alioth 17, 7d
11.67, 29603, Marketplace Alioth 17, 73d
11.94, 85426, Marketplace Alioth 18, 73d
12.60, 15802, Marketplace Alioth 18, 29d
11.67, 200444, Marketplace Alioth 18, 73d
10, 36810, Marketplace Alioth 19, 29d
14.50, 26998, Marketplace Alioth 20, 34h
11.67, 71731, Marketplace Alioth 20, 73d
12.33, 200003, Marketplace Feli 1, 73d
11.94, 201981, Marketplace Feli 1, 73d
12.24, 200035, Marketplace Feli 1, 73d
11.67, 200444, Marketplace Feli 1, 73d
12.33, 200003, Marketplace Feli 1, 73d
12.33, 108373, Marketplace Feli 2, 73d
11.94, 201981, Marketplace Feli 2, 73d
12.24, 200035, Marketplace Feli 2, 73d
11.67, 200444, Marketplace Feli 2, 73d
11.67, 200444, Marketplace Feli 3, 73d
12.24, 200035, Marketplace Feli 3, 73d
12.33, 200003, Marketplace Feli 3, 73d
12.50, 126108, Marketplace Feli 3, 73d
12.75, 15000, Marketplace Feli 3, 7d
11.94, 201981, Marketplace Feli 3, 73d
11.67, 200444, Marketplace Feli 4, 73d
12.24, 200035, Marketplace Feli 4, 73d
12.33, 162407, Marketplace Feli 4, 73d
11.94, 201981, Marketplace Feli 4, 73d
11.94, 201981, Marketplace Feli 5, 73d
12.24, 200035, Marketplace Feli 5, 73d
11.67, 200444, Marketplace Feli 5, 73d
12.33, 200003, Marketplace Feli 5, 73d
12.50, 179306, Marketplace Feli 5, 73d
12.50, 101730, Marketplace Feli 6, 73d
11.67, 200444, Marketplace Feli 6, 73d
11.94, 201981, Marketplace Feli 6, 73d
12.33, 200003, Marketplace Feli 6, 73d
12.24, 200035, Marketplace Feli 6, 73d
11.94, 201981, Marketplace lon 1, 73d
12.24, 200035, Marketplace lon 1, 73d
11.67, 200444, Marketplace lon 1, 73d
12.33, 192208, Marketplace lon 1, 73d
11.94, 201981, Marketplace lon 2, 73d
11.67, 200444, Marketplace lon 2, 73d
12.33, 171504, Marketplace lon 2, 73d
12.24, 200035, Marketplace lon 2, 73d
11.67, 200444, Marketplace lon 3, 73d
11.94, 201981, Marketplace lon 3, 73d
12.24, 3684, Marketplace lon 3, 73d
12.24, 200035, Marketplace lon 4, 73d
12.33, 200003, Marketplace lon 4, 73d
11.67, 200444, Marketplace lon 4, 73d
12.50, 37448, Marketplace lon 4, 73d
11.94, 201981, Marketplace lon 4, 73d
12.50, 201320, Marketplace lon 5, 73d
12.33, 200003, Marketplace lon 5, 73d
11.67, 200444, Marketplace lon 5, 73d
11.94, 201981, Marketplace lon 5, 73d
12.24, 200035, Marketplace lon 5, 73d
11.67, 200444, Marketplace lon 6, 73d
12.24, 173339, Marketplace lon 6, 73d
11.94, 201981, Marketplace lon 6, 73d
12.33, 91973, Marketplace lon 6, 73d
11.94, 201981, Marketplace Jago 1, 73d
12.24, 200035, Marketplace Jago 1, 73d
11.67, 200444, Marketplace Jago 1, 73d
12.33, 178257, Marketplace Jago 1, 73d
12.33, 158022, Marketplace Jago 2, 73d
11.94, 201981, Marketplace Jago 2, 73d
11.67, 200444, Marketplace Jago 2, 73d
12.24, 200035, Marketplace Jago 2, 73d
25, 6046, Marketplace Jago 3, 2d
12.24, 134638, Marketplace Jago 3, 73d
11.94, 201981, Marketplace Jago 3, 73d
11.67, 200444, Marketplace Jago 3, 73d
11.94, 201981, Marketplace Jago 4, 73d
12.33, 109124, Marketplace Jago 4, 73d
12.24, 200035, Marketplace Jago 4, 73d
11.67, 200444, Marketplace Jago 4, 73d
11.94, 201981, Marketplace Jago 5, 73d
11.67, 200385, Marketplace Jago 5, 73d
12.24, 136844, Marketplace Jago 5, 73d
11.67, 200444, Marketplace Jago 6, 73d
12.50, 112893, Marketplace Jago 6, 73d
12.33, 200003, Marketplace Jago 6, 73d
11.94, 201981, Marketplace Jago 6, 73d
12.24, 200035, Marketplace Jago 6, 73d
11.67, 200444, Marketplace Lacobus 1, 73d
11.94, 201981, Marketplace Lacobus 1, 73d
12.24, 200035, Marketplace Lacobus 1, 73d
12.33, 200003, Marketplace Lacobus 1, 73d
12.50, 160165, Marketplace Lacobus 1, 73d
11.67, 200444, Marketplace Lacobus 2, 73d
11.94, 201981, Marketplace Lacobus 2, 73d
12.33, 200003, Marketplace Lacobus 2, 73d
12.24, 200035, Marketplace Lacobus 2, 73d
12.50, 178888, Marketplace Lacobus 2, 73d
11.94, 201981, Marketplace Lacobus 3, 73d
0, 4000, Marketplace Lacobus 3, 64d
11.67, 200444, Marketplace Lacobus 3, 73d
12.33, 200003, Marketplace Lacobus 3, 73d
12.50, 100276, Marketplace Lacobus 3, 73d
12.24, 200035, Marketplace Lacobus 3, 73d
11.67, 200444, Marketplace Lacobus 4, 73d
12.50, 133103, Marketplace Lacobus 4, 73d
11.94, 201981, Marketplace Lacobus 4, 73d
12.33, 200003, Marketplace Lacobus 4, 73d
12.24, 200035, Marketplace Lacobus 4, 73d
12.24, 200035, Marketplace Lacobus 5, 73d
12.33, 136925, Marketplace Lacobus 5, 73d
11.67, 200444, Marketplace Lacobus 5, 73d
11.94, 201981, Marketplace Lacobus 5, 73d
12.50, 100000, Marketplace Lacobus 5, 25d
13, 100000, Marketplace Lacobus 5, 27d
12.24, 96290, Marketplace Lacobus 6, 73d
11.67, 200444, Marketplace Lacobus 6, 73d
11.94, 201981, Marketplace Lacobus 6, 73d
10, 231339, Marketplace Madis 1, 6d
5, 120664, Marketplace Madis 1, 29d
5, 167836, Marketplace Madis 2, 23d
10, 224006, Marketplace Madis 2, 6d
10, 300000, Marketplace Madis 3, 6d
8, 71224, Marketplace Madis 3, 82d
10, 1445, Marketplace Madis 3, 3d
6, 39571, Marketplace Madis 4, 23d
10.01, 150993, Marketplace Madis 4 88, d
5, 93890, Marketplace Madis 4, 82d
10, 300000, Marketplace Madis 4, 6d
10, 250899, Marketplace Madis 5, 6d
9, 81019, Marketplace Madis 5 88, d
5, 145682, Marketplace Madis 6, 29d
10, 300000, Marketplace Madis 6, 6d
11.67, 200444, Marketplace Sicari 1, 73d
11.94, 201981, Marketplace Sicari 1, 73d
12.24, 27104, Marketplace Sicari 1, 73d
11.67, 58731, Marketplace Sicari 2, 73d
12.24, 200035, Marketplace Sicari 3, 73d
11.67, 200444, Marketplace Sicari 3, 73d
11.94, 201981, Marketplace Sicari 3, 73d
12.50, 191672, Marketplace Sicari 3, 73d
12.33, 200003, Marketplace Sicari 3, 73d
12.50, 201560, Marketplace Sicari 4, 73d
11.67, 200444, Marketplace Sicari 4, 73d
11.94, 201981, Marketplace Sicari 4, 73d
12.24, 200035, Marketplace Sicari 4, 73d
12.33, 200003, Marketplace Sicari 4, 73d
12.24, 200035, Marketplace Sicari 5, 73d
12.50, 159231, Marketplace Sicari 5, 73d
12.24, 200035, Marketplace Sicari 5, 73d
12.33, 200003, Marketplace Sicari 5, 73d
11.94, 201981, Marketplace Sicari 5, 73d
11.94, 201981, Marketplace Sicari 6, 73d
11.67, 200444, Marketplace Sicari 6, 73d
12.24, 86371, Marketplace Sicari 6, 73d
12.33, 184879, Marketplace Sicari 6, 73d
12.50, 198633, Marketplace Sinnen 1, 73d
12.24, 200035, Marketplace Sinnen 1, 73d
12.33, 200003, Marketplace Sinnen 1, 73d
11.94, 201981, Marketplace Sinnen 1, 73d
11.67, 200444, Marketplace Sinnen 1, 73d
11.67, 200444, Marketplace Sinnen 2, 73d
12.33, 195745, Marketplace Sinnen 2, 73d
11.94, 201981, Marketplace Sinnen 2, 73d
12.24, 200035, Marketplace Sinnen 2, 73d
11.67, 200444, Marketplace Sinnen 3, 73d
11.94, 201981, Marketplace Sinnen 3, 73d
12.33, 200003, Marketplace Sinnen 3, 73d
12.24, 200035, Marketplace Sinnen 3, 73d
12.50, 180110, Marketplace Sinnen 3, 73d
12.33, 200003, Marketplace Sinnen 4, 73d
11.94, 201981, Marketplace Sinnen 4, 73d
12.24, 200035, Marketplace Sinnen 4, 73d
12.50, 201260, Marketplace Sinnen 4, 73d
11.67, 200444, Marketplace Sinnen 4, 73d
11.94, 201981, Marketplace Sinnen 5, 73d
12.24, 200035, Marketplace Sinnen 5, 73d
12.50, 200230, Marketplace Sinnen 5, 73d
11.67, 200444, Marketplace Sinnen 5, 73d
12.33, 200003, Marketplace Sinnen 5, 73d
12.24, 200035, Marketplace Sinnen 6, 73d
12.50, 128197, Marketplace Sinnen 6, 73d
11.94, 201981, Marketplace Sinnen 6, 73d
11.67, 200444, Marketplace Sinnen 6, 73d
12.33, 200003, Marketplace Sinnen 6, 73d
11.94, 201981, Marketplace Symeon 1, 73d
12.24, 200035, Marketplace Symeon 1, 73d
12.33, 200003, Marketplace Symeon 1, 73d
11.67, 200444, Marketplace Symeon 1, 73d
12.50, 163086, Marketplace Symeon 1, 73d
11.67, 200444, Marketplace Symeon 2, 73d
12.33, 200003, Marketplace Symeon 2, 73d
11.94, 201981, Marketplace Symeon 2, 73d
12.50, 142033, Marketplace Symeon 2, 73d
12.24, 200035, Marketplace Symeon 2, 73d
11.94, 201981, Marketplace Symeon 3, 73d
12.24, 200035, Marketplace Symeon 3, 73d
11.67, 200444, Marketplace Symeon 3, 73d
12.33, 200003, Marketplace Symeon 3, 73d
12.50, 201560, Marketplace Symeon 3, 73d
11.67, 200444, Marketplace Symeon 4, 73d
11.94, 201981, Marketplace Symeon 4, 73d
12.24, 200035, Marketplace Symeon 4, 73d
12.33, 137139, Marketplace Symeon 4, 73d
12.24, 200035, Marketplace Symeon 5, 73d
11.67, 200444, Marketplace Symeon 5, 73d
12.50, 68247, Marketplace Symeon 5, 73d
11.94, 201981, Marketplace Symeon 5, 73d
12.33, 200003, Marketplace Symeon 5, 73d
12.50, 201560, Marketplace Symeon 6, 73d
11.94, 201981, Marketplace Symeon 6, 73d
12.24, 200035, Marketplace Symeon 6, 73d
12.33, 200003, Marketplace Symeon 6, 73d
